// 상인 거래 정보,,우유 만족 명성도,우유 수량 불만족,신선도 불만족,표창장받는 거래횟수,초과 달성 배럴 (%),,,,,,,,,,,,,,,,,,,,
label(dealinfo),syscode,fameofdealok,fameofbarrelfail,fameoffreshfail,presentablecount,overdealbarrel,,,,,,,,,,,,,,,,,,,,
,80100,5,-15,-15,6,100,,,,,,,,,,,,,,,,,,,,
//,,무늬 정보,,,,,,,,,,,,,,,,,,,,,,,,
label(stbody),syscode,stcode,atlasname,a1,a2,a3,a4,a5,a6,,,,,,,,,,,,,,,,,
,80300,100,animal_00,cow_b_01,cow_b_02,cow_b_03,cow_b_04,cow_b_05,cow_b_06,,,,,,,,,,,,,,,,,
,80300,101,animal_00,cow_bg_01,cow_bg_02,cow_bg_03,cow_bg_04,cow_bg_05,cow_bg_06,,,,,,,,,,,,,,,,,
,80300,102,animal_00,cow_bh_01,cow_bh_02,cow_bh_03,cow_bh_04,cow_bh_05,cow_bh_06,,,,,,,,,,,,,,,,,
,80300,103,animal_00,cow_bi_01,cow_bi_02,cow_bi_03,cow_bi_04,cow_bi_05,cow_bi_06,,,,,,,,,,,,,,,,,
,80300,104,animal_00,cow_bj_01,cow_bj_02,cow_bj_03,cow_bj_04,cow_bj_05,cow_bj_06,,,,,,,,,,,,,,,,,
//몬스터 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,
label(monster),moncode,icon,,,,,,,,,,,,,,,,,,,,,,,,
,80400,monster_01,,,,,,,,,,,,,,,,,,,,,,,,
,80401,monster_02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
